"codigo";"lapso";"cod_mat";"cod_comp"
"32074";"2014-1";"T3DB02";"3937"
"32099";"2014-1";"T3AB02";"3805"
"32099";"2014-1";"T3BB02";"3806"
"32099";"2014-1";"T3CB02";"3807"
"32099";"2014-1";"T3EB02";"3809"
"32099";"2014-1";"T3GB02";"3811"
"32099";"2014-1";"T3HB02";"3814"
"32099";"2014-1";"T3IB02";"3935"
"32099";"2014-1";"T3DB02";"3937"
"32106";"2014-1";"T3AB02";"3805"
"32106";"2014-1";"T3BB02";"3806"
"32106";"2014-1";"T3CB02";"3807"
"32106";"2014-1";"T3EB02";"3809"
"32106";"2014-1";"T3GB02";"3811"
"32106";"2014-1";"T3HB02";"3814"
"32106";"2014-1";"T3IB02";"3935"
"32106";"2014-1";"T3DB02";"3937"
"32119";"2014-1";"T3AB01";"3805"
"32119";"2014-1";"T3BB01";"3806"
"32119";"2014-1";"T3CB01";"3807"
"32119";"2014-1";"T3EB01";"3809"
"32119";"2014-1";"T3GB01";"3811"
"32119";"2014-1";"T3HB01";"3814"
"32119";"2014-1";"T3IB01";"3935"
"32119";"2014-1";"T3DB01";"3937"
"32133";"2014-1";"T2AB05";"3800"
"32133";"2014-1";"T2DB05";"3803"
"32133";"2014-1";"T3AB01";"3805"
"32133";"2014-1";"T3BB01";"3806"
"32133";"2014-1";"T3CB01";"3807"
"32133";"2014-1";"T3EB01";"3809"
"32133";"2014-1";"T3GB01";"3811"
"32133";"2014-1";"T3HB01";"3814"
"32133";"2014-1";"T3IB01";"3935"
"32155";"2014-1";"T3AB02";"3805"
"32155";"2014-1";"T3BB02";"3806"
"32155";"2014-1";"T3CB02";"3807"
"32155";"2014-1";"T3EB02";"3809"
"32155";"2014-1";"T3GB02";"3811"
"32155";"2014-1";"T3HB02";"3814"
"32155";"2014-1";"T3IB02";"3935"
"32155";"2014-1";"T3DB02";"3937"
"32172";"2014-1";"T2AB06";"3800"
"32172";"2014-1";"T2BB06";"3801"
"32172";"2014-1";"T2CB06";"3802"
"32172";"2014-1";"T2DB06";"3803"
"32172";"2014-1";"T2EB06";"3804"
"32172";"2014-1";"T2GB06";"3813"
"32181";"2014-1";"T2AB11";"3800"
"32181";"2014-1";"T2BB11";"3801"
"32181";"2014-1";"T2CB11";"3802"
"32181";"2014-1";"T2DB11";"3803"
"32181";"2014-1";"T2EB11";"3804"
"32181";"2014-1";"T2FB11";"3812"
"32181";"2014-1";"T2GB11";"3813"
"32195";"2014-1";"T2AB11";"3800"
"32195";"2014-1";"T2BB11";"3801"
"32195";"2014-1";"T2DB11";"3803"
"32195";"2014-1";"T2GB11";"3813"
"32211";"2014-1";"T3AB01";"3805"
"32211";"2014-1";"T3BB01";"3806"
"32211";"2014-1";"T3CB01";"3807"
"32211";"2014-1";"T3EB01";"3809"
"32211";"2014-1";"T3GB01";"3811"
"32211";"2014-1";"T3HB01";"3814"
"32211";"2014-1";"T3IB01";"3935"
"32211";"2014-1";"T3DB01";"3937"
"32252";"2014-1";"T3AB02";"3805"
"32252";"2014-1";"T3BB02";"3806"
"32252";"2014-1";"T3CB02";"3807"
"32252";"2014-1";"T3EB02";"3809"
"32252";"2014-1";"T3GB02";"3811"
"32252";"2014-1";"T3HB02";"3814"
"32252";"2014-1";"T3IB02";"3935"
"32252";"2014-1";"T3DB02";"3937"
"32263";"2014-1";"T2DB20";"3803"
"32263";"2014-1";"T3AB01";"3805"
"32263";"2014-1";"T3BB01";"3806"
"32263";"2014-1";"T3CB01";"3807"
"32263";"2014-1";"T3EB01";"3809"
"32263";"2014-1";"T3GB01";"3811"
"32263";"2014-1";"T3HB01";"3814"
"32263";"2014-1";"T3IB01";"3935"
"32263";"2014-1";"T3DB01";"3937"
"32320";"2014-1";"T3AB02";"3805"
"32320";"2014-1";"T3BB02";"3806"
"32320";"2014-1";"T3CB02";"3807"
"32320";"2014-1";"T3EB02";"3809"
"32320";"2014-1";"T3GB02";"3811"
"32320";"2014-1";"T3HB02";"3814"
"32320";"2014-1";"T3IB02";"3935"
"32320";"2014-1";"T3DB02";"3937"
"32329";"2014-1";"T3AB02";"3805"
"32329";"2014-1";"T3BB02";"3806"
"32329";"2014-1";"T3CB02";"3807"
"32329";"2014-1";"T3EB02";"3809"
"32329";"2014-1";"T3GB02";"3811"
"32329";"2014-1";"T3HB02";"3814"
"32329";"2014-1";"T3IB02";"3935"
"32329";"2014-1";"T3DB02";"3937"
"33280";"2014-1";"T2AB06";"3800"
"33280";"2014-1";"T2BB06";"3801"
"33280";"2014-1";"T2CB06";"3802"
"33280";"2014-1";"T2DB06";"3803"
"33280";"2014-1";"T2EB06";"3804"
"33280";"2014-1";"T2GB06";"3813"
"33570";"2014-1";"T2DB20";"3803"
"33570";"2014-1";"T3AB01";"3805"
"33570";"2014-1";"T3BB01";"3806"
"33570";"2014-1";"T3CB01";"3807"
"33570";"2014-1";"T3EB01";"3809"
"33570";"2014-1";"T3GB01";"3811"
"33570";"2014-1";"T2GB12";"3813"
"33570";"2014-1";"T3HB01";"3814"
"33570";"2014-1";"T3IB01";"3935"
"33570";"2014-1";"T3DB01";"3937"
"33587";"2014-1";"T3AB01";"3805"
"33587";"2014-1";"T3BB01";"3806"
"33587";"2014-1";"T3CB01";"3807"
